symbol,exchange
E2E,NSE
NETWEB,NSE
KPITTECH,NSE
PERSISTENT,NSE
COFORGE,NSE
TATAELXSI,NSE
LTIM,NSE
INFY,NSE
TECHM,NSE
HAPPSTMNDS,NSE
ZENSARTECH,NSE
AFFLE,NSE
TANLA,NSE
KAYNES,NSE
